item_01,item_02,item_03,item_04,item_05,item_06,item_07,item_08,item_09,item_10,member
0,0,0,1,0,0,1,1,0,1,0
0,1,1,1,0,1,1,1,1,1,0
1,1,0,1,1,0,0,1,0,0,0
0,0,1,1,1,0,1,0,0,1,0
0,0,0,1,0,0,0,0,0,1,0
0,0,1,1,0,0,1,1,1,1,0
0,0,0,1,0,1,1,1,0,1,0
0,1,1,1,1,1,1,1,1,1,0
1,1,1,1,0,1,1,1,0,1,0
0,0,0,1,1,1,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0
0,1,1,1,0,1,1,0,0,0,0
0,1,0,0,0,1,1,0,0,0,0
0,1,1,1,1,1,1,1,1,1,0
0,0,0,1,1,1,1,1,1,1,0
1,1,1,1,0,0,1,1,1,1,0
0,0,1,1,0,1,0,1,0,1,0
0,1,1,1,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,0
0,1,1,1,1,0,1,1,1,1,0
0,0,1,1,1,1,1,1,1,1,0
0,0,1,1,0,0,0,0,1,1,0
0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,0,0,0
0,0,0,1,1,1,1,1,1,1,0
1,0,1,1,1,1,1,1,0,1,0
1,0,1,1,1,1,1,1,0,1,0
1,1,1,1,1,1,1,1,1,1,0
0,1,0,1,1,1,1,1,0,1,0
0,0,1,1,0,1,1,0,0,1,0
0,0,1,1,0,0,0,1,0,1,0
0,0,1,1,0,0,0,1,0,1,0
0,0,0,1,0,0,0,0,0,0,0
0,0,0,1,1,1,1,0,1,1,0
0,0,0,1,0,1,1,1,0,1,0
0,1,1,1,0,1,1,1,0,0,0
0,0,1,1,0,0,0,0,0,0,0
0,0,1,1,0,0,1,1,0,1,0
1,1,1,1,0,1,1,1,1,1,0
0,0,0,1,1,1,1,0,0,0,0
0,1,1,1,0,1,1,0,0,1,0
0,0,1,1,0,0,1,0,0,1,0
0,1,0,1,0,0,1,1,0,0,0
0,0,0,1,0,0,1,0,0,1,0
0,1,0,1,0,1,0,1,0,1,0
0,1,0,1,0,0,0,0,0,0,0
0,1,0,1,0,1,1,0,0,1,0
0,1,1,1,1,1,1,1,1,1,0
0,0,0,1,0,0,0,1,0,0,0
0,1,1,1,0,1,1,1,1,1,0
0,1,1,1,0,0,0,0,0,1,0
0,0,0,1,0,0,1,1,0,0,0
0,0,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0
0,0,1,1,1,1,0,1,0,1,0
0,0,0,0,0,0,1,0,0,1,0
1,1,1,1,0,1,0,0,1,1,0
0,0,0,1,0,0,1,0,0,1,0
0,1,0,1,0,0,1,1,0,1,0
1,0,1,1,1,1,1,1,0,1,0
0,0,1,1,0,1,0,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,1,0,0,0
0,0,1,1,0,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,0
0,1,1,1,0,1,0,0,0,0,0
0,0,1,1,0,0,0,0,0,1,0
0,0,0,1,0,0,1,0,1,0,0
0,0,1,1,0,0,1,1,0,1,0
0,0,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,1,0,0,0
0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,0,0,0,1,0,0,0
0,0,1,1,0,0,0,1,0,1,0
1,1,1,1,0,1,1,0,1,1,0
0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,1,0,1,0
